State,Agency,Code,Name,Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all18,R2_all18,RMSE_all18
CE,ANA,340036,Fazenda Pocinhos,-3.8833,-40.1667,150.0,1970.0,1991.0,22.0,1229.7,0.2015,13.0,0.8413,1558.3948,0.23435208,26.792036,0.9618053,0.7456218790366519,0.7456218790366519,27.00021368510447
CE,ANA,539016,Quixeramobim,-5.2,-39.3,187.0,,,30.0,2847.22,0.3,43.0,0.97,960.57043,0.17877148,14.659737,0.8626505,0.5470318865174704,0.5470318865174704,41.34228660196369
CE,ANA,639034,Várzea Alegre,-6.8,-39.3,302.0,1962.0,1989.0,27.0,2977.1,0.1711,36.0,0.9059,605.84656,0.20284997,5.106993e-12,0.7441101,0.9142459832800144,0.9142459832800144,16.324904173276817
ES,INMET,83550,São Mateus,-18.7,-39.85,25.0,1976.0,1985.0,10.0,4999.205,0.191,49.999,0.983,1010.5703,0.20693658,10.594007,0.83271664,0.8525552969213055,0.8525552969213055,22.864159560161838
ES,INMET,83597,Linhares,-19.4,-40.06666667,29.0,1987.0,1996.0,10.0,3647.235,0.223,20.665,1.0,1527.32,0.22190261,9.930701,0.88204634,0.9477167527673483,0.9477167527673483,18.518837014249577
ES,INMET,83647,Santa Teresa,-19.85,-40.6,440.0,1987.0,1996.0,10.0,632.265,0.247,13.543,0.714,1388.8562,0.1885932,9.185497,0.8552941,0.8582126474854244,0.8582126474854244,18.515016551105834
ES,ANA,1840010,Cedrolândia,-18.8097,-40.6906,300.0,1976.0,1999.0,24.0,4000.0,0.178,51.492,0.92,1715.8964,0.18701473,10.34772,0.8995562,0.9278201760441442,0.9278201760441442,15.449695732480174
ES,ANA,1840013,Ecoporanga,-18.3658,-40.8406,300.0,1976.0,1999.0,23.0,5666.17,0.197,43.631,1.055,1065.8892,0.1930821,9.510997,0.83227056,0.9424578114151031,0.9424578114151031,13.659074598814726
ES,ANA,1840015,Patrimônio Santa Luzia do Norte,-18.2056,-40.6033,400.0,1976.0,1999.0,24.0,2407.091,0.187,34.383,0.877,1031.5797,0.17362826,12.023618,0.8314592,0.8243777410192865,0.8243777410192865,23.027321152327797
ES,ANA,1840019,Córrego da Boa Esperança,-18.7006,-40.4419,80.0,1976.0,1999.0,23.0,4350.786,0.202,40.254,1.003,1500.4642,0.16895449,9.740776,0.8878377,0.9468312337044845,0.9468312337044845,13.415252063327358
