Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
01036063,FAZENDA CAJUEIRO,50,JAPARATUBA,SERGIPE,ANA,-10.5781,-36.9156,1991-10-11,2019-11-30,29,1.2,22,24.1
01037004,ARACAJÚ,50,ARACAJÚ,SERGIPE,INMET,-10.9167,-37.05,1951-03-01,2019-06-30,69,26.5,37,46.4
01037007,FAZENDA BELÉM,50,ITAPORANGA D'AJUDA,SERGIPE,ANA,-10.9417,-37.345,1948-11-01,2019-11-30,72,7.4,47,34.7
01037049,SANTA ROSA DE LIMA (CAMBOATA),50,SANTA ROSA DE LIMA,SERGIPE,ANA,-10.6528,-37.1928,1952-06-01,2019-11-30,68,9.3,36,47.1
01037078,CAPELA,50,CAPELA,SERGIPE,ANA,-10.4833,-37.0667,1983-02-01,2019-11-30,37,2.6,26,29.7
01039019,QUEIMADAS,50,QUEIMADAS,BAHIA,ANA,-10.9742,-39.6328,1937-07-01,2019-11-30,83,9.7,50,39.8
01039025,AÇUDE JACURICI,50,ITIÚBA,BAHIA,ANA,-10.6514,-39.7211,1984-04-18,2019-11-30,36,2.7,20,44.4
01040025,PINDOBAÇU,50,PINDOBAÇU,BAHIA,ANA,-10.8025,-40.38,1985-04-18,2019-11-30,35,2.3,26,25.7
01040026,PONTO NOVO,50,CALDEIRÃO GRANDE,BAHIA,ANA,-10.8444,-40.1117,1985-04-17,2019-11-30,35,1.5,27,22.9
01040027,AÇUDE SOHÉM,50,SENHOR DO BONFIM,BAHIA,ANA,-10.3947,-40.1147,1985-04-24,2019-10-31,35,1.5,20,42.9
01042012,RIO VERDE II,47,ITAGUAÇU DA BAHIA,BAHIA,ANA,-10.9864,-42.3422,1977-03-01,2019-08-31,43,0.9,33,23.3
01046001,MATEIROS,22,MATEIROS,TOCANTINS,ANA,-10.5464,-46.4186,1998-06-01,2019-09-30,22,0.8,18,18.2
01047000,JATOBÁ (FAZENDA BOA NOVA),22,NOVO ACORDO,TOCANTINS,ANA,-9.9906,-47.4786,1973-08-16,2019-09-30,47,2.2,38,19.1
01047001,NOVO ACORDO,22,NOVO ACORDO,TOCANTINS,ANA,-9.9606,-47.6747,1971-12-10,2019-09-30,49,5.9,34,30.6
01047002,PORTO GILÂNDIA,22,MONTE DO CARMO,TOCANTINS,ANA,-10.7553,-47.7647,1969-08-01,2019-09-30,51,2.6,39,23.5
01047004,PONTE ALTA DO TOCANTINS,22,PONTE ALTA DO TOCAN,TOCANTINS,ANA,-10.7508,-47.5361,1984-01-22,2019-09-30,36,3.3,25,30.6
01048000,FÁTIMA,22,FÁTIMA,TOCANTINS,ANA,-10.7636,-48.9022,1971-12-11,2019-09-30,49,4.8,32,34.7
01048001,PARAÍSO DO TOCANTINS,27,PARAÍSO DO TOCANTIN,TOCANTINS,ANA,-10.1653,-48.8906,1971-12-13,2019-09-30,49,1.6,39,20.4
01048003,PALMAS,22,PORTO NACIONAL,TOCANTINS,INMET,-10.7167,-48.4167,1949-01-01,2017-09-30,69,2.1,58,15.9
01048005,TAQUARUSSU DO PORTO,22,PALMAS,TOCANTINS,ANA,-10.3133,-48.1625,1976-06-17,2019-09-30,44,5.3,30,31.8
01049001,PIUM,26,PIUM,TOCANTINS,ANA,-10.4411,-49.1792,1983-01-27,2019-09-30,37,4.9,26,29.7
01049002,PRÓXIMO BARREIRA DA CRUZ,26,LAGOA DA CONFUSÃO,TOCANTINS,ANA,-10.7344,-49.8564,1999-08-21,2019-09-30,21,3.5,15,28.6
01050000,LUCIARA,26,LUCIARA,MATO GROSSO,ANA,-11.2192,-50.6686,1969-09-01,2019-08-31,51,28.2,28,45.1
01050002,SANTA TEREZINHA,26,FORTALEZA DO TABOCÃ,TOCANTINS,ANA,-10.4611,-50.5125,1985-10-23,2019-08-31,35,2.4,25,28.6
