Year,MaxDaily_mm,DateOfMax
2000,173.00,2000-12-18
2001,80.30,2001-12-30
2002,102.50,2002-12-13
2003,217.50,2003-01-16
2004,141.00,2004-04-05
2005,96.70,2005-02-26
2006,101.20,2006-12-01
2007,80.60,2007-10-19
2008,123.10,2008-12-17
2009,79.30,2009-09-22
2010,80.60,2010-12-10
2011,113.90,2011-12-15
2012,78.20,2012-01-02
2013,87.40,2013-12-25
2014,98.90,2014-12-14
2015,71.80,2015-11-18
2016,110.90,2016-01-17
2017,70.40,2017-12-04
2018,92.70,2018-12-28
2019,59.60,2019-11-29
2020,193.40,2020-01-24
