,,,,,,,,,,,,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Code,Name,City,State,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
47002,SALINÓPOLIS,SALINÓPOLIS,PARÁ,-0.623100,-47.353600,12/9/1977,8/31/2019,43,3.5,35,18.6,232.70,183.40,127.90,103.40,96.10,102.50,134.20,130.30,113.70,150.40,145.90,146.20,,,,,,,,,,,,,,
47004,PRIMAVERA,PRIMAVERA,PARÁ,-0.929400,-47.099400,2/18/1982,8/31/2019,38,0,35,7.9,135.80,92.60,130.40,121.00,93.00,101.20,106.60,86.00,117.60,93.00,91.70,103.00,,,,,,,,,,,,,,
48006,VIGIA,VIGIA,PARÁ,-0.868100,-48.110300,2/11/1982,7/31/2019,38,0.4,32,15.8,109.50,111.30,124.30,109.30,99.80,96.70,83.00,99.00,99.10,140.30,38.70,,,,,,,,,,,,,,,
