,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-16.265,-39.5833,88.7,71.6,78,73.4,90.6,88.5,51.4,36.3,,76,57.7,,,,,,,,,,,,,,,
-16.1203,-40.7394,117.7,60.8,118.3,65.7,91.8,85.5,68,116.8,,96.5,78,,,,,,,,,,,,,,,
-16.5683,-41.5031,95,70.4,98.9,69.8,54,126.2,73.1,115.6,,59.5,68.9,,,,,,,,,,,,,,,
-16.6894,-41.4983,62.2,73,62,80.6,50.2,92,54.5,75,,49,76.3,,,,,,,,,,,,,,,
-16.6181,-41.7675,60.4,58.2,52.1,62.1,61.2,74.1,47.9,74.7,,66.2,77.2,,,,,,,,,,,,,,,
-16.23,-41.4808,67.5,63,92.2,102.5,76.3,105.2,54.4,122.2,,88.1,78.5,,,,,,,,,,,,,,,
-16.6131,-42.1869,77,63,56.6,64.4,73.3,95.4,46.2,63.2,,66.5,52.3,,,,,,,,,,,,,,,
-16.6789,-42.4856,48.2,90.5,132.1,69.2,54.1,65.2,93.1,79.4,,102.2,128.6,,,,,,,,,,,,,,,
-16.5914,-42.9183,66,80,61,90,88,66.5,98,92,,79,85,,,,,,,,,,,,,,,
-16.7025,-44.1172,60.8,54.4,186.6,81.4,75.4,84.3,52.5,74.6,51,63.7,95.6,,,,,,,,,,,,,,,
-16.3717,-45.0828,68.6,51.5,137.1,67.7,89.8,57.5,118.1,70,55.1,94.1,128.8,,,,,,,,,,,,,,,
-16.1336,-45.7422,85,65,70.2,79.1,80,102.1,80,87.6,52.3,91.6,64.5,,,,,,,,,,,,,,,
-16.8072,-45.0303,59.4,108,142.9,70,100.6,91.2,82.3,94.9,56.6,118.4,112.3,,,,,,,,,,,,,,,
-16.7881,-47.6033,80.2,,,,,84,75,58.4,64.5,121,103.1,76.7,112.5,,,,115,85.4,,,,,,,,
-16.1431,-48.6,49,67.4,63,,,100.4,63.1,86.7,90.3,95,90,70.5,86.6,,,,45.8,57.1,,,,,,,,
-16.9119,-49.4522,70.4,99.4,93.2,70.8,71.3,,,,68.9,53.3,86,73.7,,,,,,,,,,,,,,
-16.5164,-49.0203,66.4,69.7,55.6,125.3,76,,,,56.4,96.9,79.9,92.9,,,,,,,,,,,,,,
-16.0275,-49.8003,90,117,91.3,57.8,84.5,97,67.8,67,72,78,91.2,58.7,66.7,,,,171,80,,,,,,,,
-16.2186,-49.1978,100,69,60,108,56.4,,,,218.8,63.5,98,85.7,,,,,,,,,,,,,,
-16.6694,-50.6492,103,62,112.5,63.3,70.8,95.5,61,102.4,60.5,128.3,112,62,,,,,,,,,,,,,,
-16.2983,-50.5567,96.9,133.4,143,65.8,153.3,135.5,100.3,84.1,81.5,164.4,109.1,102.1,,,,,,,,,,,,,,
-16.6094,-50.1328,80,95,90.4,89.2,52.4,,,,71.4,61.2,106.2,100.6,,,,,,,,,,,,,,
-16.4233,-51.8228,125.6,110.4,92,88.5,94,74.2,76.3,99.7,86.4,117.6,102.3,108.7,,,,,,,,,,,,,,
-16.3058,-51.4706,55.2,89.2,86.2,71.3,81.5,63,82.5,76.5,81.4,68,83.6,54.7,,,,,,,,,,,,,,
-16.2092,-52.1686,112.1,88.8,93.9,49.7,101.5,78.2,57.9,106.2,94.5,93.7,127.6,79.3,,,,,,,,,,,,,,
-16.0767,-53.5511,127.5,67.8,116.2,96.8,149.3,112.4,80.9,83.6,100.7,93.7,94.2,98.4,,,,,,,,,,,,,,
-16.3528,-53.7608,58,146.2,117.8,143,64,81.6,91.6,82.4,77,107.7,95.5,65.6,,,,,,,,,,,,,,
-16.9442,-53.5336,69.5,81.2,88.6,54,68.5,101.2,81.6,92.4,59.6,79.5,91.2,72.3,,,,,,,,,,,,,,
-16.4711,-54.6561,118.4,85.3,146.9,121.2,176.4,80.2,60.9,75,89,56.7,82.4,90.5,,,,,,,,,,,,,,
-16.6739,-54.2661,115.8,63.2,123.1,77.2,66.2,71.6,95.6,68.5,54.5,53.6,54,57,,,,,,,,,,,,,,
-16.1936,-55.9453,137.7,156.8,122,73.8,143.8,74.3,53.7,67.1,80.9,79.3,114.7,70.8,,,,,,,,,,,,,,
-17.0728,-41.4831,67.6,70.5,67.6,88,54,92.2,61,77.7,,76.1,47.8,,,,,,,,,,,,,,,
-17.6917,-42.5261,66.4,65.8,70,56.2,58,68.9,96.4,86.8,,87.2,47.2,,,,,,,,,,,,,,,
-17.8456,-42.0756,61,53.5,95.9,86.5,76,66.2,60.3,93,,78,151,,,,,,,,,,,,,,,
-17.9922,-42.3939,69.1,108.3,81.5,88.3,91.3,91.7,62.3,68.3,,86,119.3,,,,,,,,,,,,,,,
-16.9711,-42.1156,84.3,79.2,91.4,79.4,74.7,67.5,94.2,81.9,,121.2,68.1,,,,,,,,,,,,,,,
-17.3128,-43.2078,75.3,67,55.4,85,77.1,61.9,80.9,123.7,,79.4,75,,,,,,,,,,,,,,,
-17.89,-44.5767,72.2,64.3,70.7,76.2,76.2,79.2,68.2,66.4,65.2,70.2,63.1,,,,,,,,,,,,,,,
-17.7725,-47.0986,66.3,98.6,73.4,62,137.3,68.5,100,80.4,61.2,96,93.8,,,,,,,,,,,,,,,
-17.1981,-48.715,77.7,110.4,132.2,81.2,103.1,94.9,77.9,72.5,65.1,87.5,64.7,88.5,95.6,,,,82.1,102,,,,,,,,
-17.9831,-48.6833,55.3,61.9,59.2,77.7,63.9,156.6,60.8,98.1,90,85.7,123.7,101.1,79.5,,,,162,190.6,,,,,,,,
-17.3414,-49.9303,58.9,77.4,96.8,64.6,82.4,,,,102.1,101.3,75,110,,,,,,,,,,,,,,
-17.1056,-49.6908,86,140,80.2,100,91,,,,95.8,78.4,69.5,97.2,,,,,,,,,,,,,,
-17.8094,-49.6264,142.2,96.7,72,63,45.2,,,,145,59,60,89,,,,,,,,,,,,,,
-17.5169,-49.4417,132.2,72.6,75.4,60.1,29.2,,,,68.9,68.5,124.6,64.8,,,,,,,,,,,,,,
-17.3,-53.2194,71,62.8,118.6,89.7,48.6,84.3,77.3,53,47,96.2,116.8,107.5,,,,,,,,,,,,,,
-17.2078,-54.14,86.2,82.2,75.2,121.2,85.2,85.2,70.3,108.3,75.5,56.4,75.4,55.2,,,,,,,,,,,,,,
-17.0572,-56.5856,77.6,64.1,100.7,121.6,57.3,120.2,60.2,56.6,104.6,100.1,76.5,62.8,,,,,,,,,,,,,,
-18.9856,-40.7461,61,42,78.1,84.4,117.7,106.1,80.8,123.5,,142.2,112.3,,,,,,,,,,,,,,,
-18.7619,-40.89,75,43,54,65,74,93.5,92,55,,121,82,,,,,,,,,,,,,,,
-18.1456,-40.1439,70,50,58.8,116.9,73.4,136.7,136.6,99,,64.5,118.4,,,,,,,,,,,,,,,
-18.2056,-40.6033,69.2,89.8,132.2,56.8,70.6,102.6,72.6,77,,82.2,112.3,,,,,,,,,,,,,,,
-18.7006,-40.4419,76.3,49.3,67.3,55.6,89.8,90.7,98.8,78.8,,98.9,89.8,,,,,,,,,,,,,,,
-18.5747,-41.9178,97,57.3,97.4,62.4,60.6,69.8,98.6,166.6,,70.8,87.4,,,,,,,,,,,,,,,
-18.2386,-41.7486,61,80.8,86.4,44.5,85.9,77.3,89.2,91.6,,51.9,119.9,,,,,,,,,,,,,,,
-18.6811,-41.1967,90.2,48.1,85.4,77.4,67.5,76.1,55.4,83.4,,93.2,79.2,,,,,,,,,,,,,,,
-18.8389,-41.1103,100,68.4,82,65.6,99,56.9,83.8,123,,81.2,137.6,,,,,,,,,,,,,,,
-18.4061,-41.04,70.7,48.1,78.4,73,95.1,72,68.1,67.5,,202.7,71.2,,,,,,,,,,,,,,,
-18.9764,-41.6403,102.6,95.7,152.1,81.3,73.6,65.6,44,104,,92,128.7,,,,,,,,,,,,,,,
-18.7631,-41.3083,76.5,63.2,61,83.1,78.1,53.2,55.3,83.6,,80,118,,,,,,,,,,,,,,,
-18.3631,-42.6022,91,67.3,79.2,59.7,70.2,64.3,90,64.6,,67.3,122.4,,,,,,,,,,,,,,,
-18.6119,-42.2786,125,86.4,58.2,41.3,74.4,69.3,143.2,61.8,,75,126.4,,,,,,,,,,,,,,,
-18.2011,-42.4553,80.4,50.3,59.4,59.4,56.1,55.8,88.8,72.9,,80,92.1,,,,,,,,,,,,,,,
-18.5528,-42.7642,72.4,52,85,132,73,93.5,55,46.1,,78.6,60.1,,,,,,,,,,,,,,,
-18.5928,-43.4125,51,72,52.8,98,91.6,62,48.4,82.4,,65,116,,,,,,,,,,,,,,,
-18.2797,-43.0006,92.2,86,63.1,62.7,75.1,108.5,52.7,76,,70,92,,,,,,,,,,,,,,,
-18.7069,-46.0369,49,43.2,50.2,79.3,58.9,71.7,71.4,55.2,55.4,64.1,54.5,,,,,,,,,,,,,,,
-18.8497,-46.8008,,,58.5,60,46.9,75.7,74.5,57.3,94.2,94.4,73.8,,,,,,,,,,,,,,,
-18.4125,-46.4222,74.7,79,89.5,67,107.3,92.2,98,121.4,67.5,100.5,74.8,,,,,,,,,,,,,,,
-18.5594,-46.8003,73,98.8,59.5,62.5,80,84.7,104,79,90,68.8,91.2,,,,,,,,,,,,,,,
-18.8411,-46.5508,88.6,129.2,72.6,62.6,71.2,96.1,69,62.4,70.6,73.6,77.9,,,,,,,,,,,,,,,
-18.7381,-47.69,126,94.2,76,60.4,57.8,114.2,170,85.3,75,109.3,57.2,,,,,,,,,,,,,,,
-18.4911,-47.4064,65.3,79.1,120,61,60.4,67,108.8,76,66.4,60.5,75.2,,,,,,,,,,,,,,,
-18.5789,-47.8792,111.6,78.6,107.8,68.4,82.3,109.4,68.6,98,65.3,104,87.5,,,,,,,,,,,,,,,
-18.9819,-47.4575,47,69,83.3,72.4,73.2,83.1,80,67.6,95.2,91.2,81.8,,,,,,,,,,,,,,,
-18.6008,-48.6908,81.7,84.5,97,90.1,70,61.3,60.4,64.4,92.8,146,69.7,72.1,120,,,,,,,,,,,,,
-18.4922,-48.9028,79.2,71,69.2,112,55,66,107.2,90,61,133.5,150,74,,,,,,,,,,,,,,
-18.7719,-49.0697,94.3,73.1,91.1,85.3,51.7,75.6,80.3,81.5,78.5,63.9,64.3,,,,,,,,,,,,,,,
-18.3394,-49.6114,78.8,86.4,95,107,68.7,,,,74.8,71.3,84.7,100.4,,,,,,,,,,,,,,
-18.1047,-50.0314,75.5,117.6,87.7,61.6,54.6,,,,71.9,74.8,96.5,70,,,,,,,,,,,,,,
-17.9797,-50.3372,80.4,100.3,81.3,90.4,52.1,,,,65.4,95.1,33.1,40.2,,,,,,,,,,,,,,
