Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
02754009,TUCUNDUVA,74,TUCUNDUVA,RIO GRANDE DO SUL,ANA,-27.6742,-54.4625,1976-07-25,2019-10-31,44,1.2,35,20.5
02754010,ESQUINA ARAUJO,74,INDEPENDÊNCIA,RIO GRANDE DO SUL,ANA,-27.9681,-54.1164,1976-09-22,2019-10-31,44,1.7,35,20.5
02755001,PORTO LUCENA,74,PORTO LUCENA,RIO GRANDE DO SUL,ANA,-27.8544,-55.0236,1949-03-22,2019-10-31,71,4.0,59,16.9
02848006,VARGEM DO CEDRO,84,SÃO MARTINHO,SANTA CATARINA,ANA,-28.1036,-48.9194,1976-03-19,2019-10-31,44,2.7,38,13.6
02849000,RIO DO POUSO,84,TUBARÃO,SANTA CATARINA,ANA,-28.4197,-49.1069,1939-05-26,2019-10-31,81,3.7,62,23.5
02849001,ORLEANS - MONTANTE,84,ORLEANS,SANTA CATARINA,ANA,-28.3589,-49.295,1939-05-01,2019-09-30,81,3.4,63,22.2
02849002,SÃO LUDGERO I,84,SÃO LUDGERO,SANTA CATARINA,ANA,-28.3258,-49.1792,1939-05-28,2019-09-30,81,2.6,62,23.5
02849008,RIO PEQUENO,84,GRÃO PARÁ,SANTA CATARINA,ANA,-28.2094,-49.195,1945-11-09,2019-10-31,75,0.3,68,9.3
02849023,DESPRAIADO,70,BOM JARDIM DA SERRA,SANTA CATARINA,ANA,-28.3692,-49.8078,1976-12-11,2019-09-30,44,1.6,33,25.0
02849031,SANTA ROSA DE LIMA,84,SANTA ROSA DE LIMA,SANTA CATARINA,ANA,-28.0322,-49.1186,1986-12-01,2019-10-31,34,3.3,26,23.5
02850002,CAPELA SÃO JOSÉ DOS AUSENTES,86,SÃO JOSÉ DOS AUSENT,RIO GRANDE DO SUL,ANA,-28.7144,-50.0689,1961-01-16,2019-10-31,59,5.7,53,10.2
02850009,PASSO TAINHAS,86,JAQUIRANA,RIO GRANDE DO SUL,ANA,-28.8675,-50.4561,1943-06-01,2019-10-31,77,1.6,65,15.6
02851003,ANTÔNIO PRADO,86,ANTÔNIO PRADO,RIO GRANDE DO SUL,ANA,-28.8533,-51.2844,1943-05-01,2019-10-31,77,4.0,66,14.3
02851010,FAZENDA ROSEIRA,86,CAMPESTRE DA SERRA,RIO GRANDE DO SUL,ANA,-28.6733,-51.1428,1962-10-27,2019-09-30,58,6.0,51,12.1
02851020,PASSO DAS PEDRAS,72,CASEIROS,RIO GRANDE DO SUL,ANA,-28.2556,-51.8619,1963-01-01,2019-10-31,57,5.9,50,12.3
02851021,PASSO DO PRATA,86,VILA FLORES,RIO GRANDE DO SUL,ANA,-28.8775,-51.4483,1957-11-07,2019-10-31,63,1.0,51,19.0
02851022,PASSO MIGLIAVACA,86,CASCA,RIO GRANDE DO SUL,ANA,-28.6194,-51.8667,1957-10-09,2019-10-31,63,1.1,53,15.9
02851024,PRATA,86,NOVA PRATA,RIO GRANDE DO SUL,ANA,-28.7561,-51.6283,1944-08-27,2019-10-31,76,2.1,65,14.5
02851028,TRINTA E CINCO,86,DAVID CANABARRO,RIO GRANDE DO SUL,ANA,-28.3911,-51.8489,1962-10-30,2019-10-31,58,6.0,52,10.3
02851043,ESMERALDA,70,ESMERALDA,RIO GRANDE DO SUL,ANA,-28.0592,-51.1881,1977-12-12,2019-10-31,43,1.5,33,23.3
02852004,AULER,86,SOLEDADE,RIO GRANDE DO SUL,ANA,-28.8039,-52.3817,1962-12-03,2019-10-31,58,5.6,52,10.3
02852007,COLÔNIA XADREZ,74,COQUEIROS DO SUL,RIO GRANDE DO SUL,ANA,-28.1892,-52.7458,1944-01-01,2019-10-31,76,7.4,60,21.1
02852009,DEPÓSITO,85,ESPUMOSO,RIO GRANDE DO SUL,ANA,-28.9331,-52.8,1963-01-01,2019-10-31,57,5.7,51,10.5
02852014,ILÓPOLIS,86,ILÓPOLIS,RIO GRANDE DO SUL,ANA,-28.9283,-52.1275,1944-08-16,2019-10-31,76,4.3,69,9.2
02852024,PULADOR,85,PASSO FUNDO,RIO GRANDE DO SUL,ANA,-28.2931,-52.555,1962-12-01,2019-10-31,58,5.7,51,12.1
02852031,VILA TRÊS PASSOS,85,MARAU,RIO GRANDE DO SUL,ANA,-28.4808,-52.3667,1959-05-03,2019-10-31,61,5.7,54,11.5
02852046,TAPEJARA,72,TAPEJARA,RIO GRANDE DO SUL,ANA,-28.0575,-51.9961,1976-09-14,2019-10-31,44,1.4,36,18.2
02853003,CONCEIÇÃO,75,IJUÍ,RIO GRANDE DO SUL,ANA,-28.4561,-53.9717,1959-08-22,2019-10-31,61,1.6,49,19.7
02853010,PASSO FAXINAL,75,AJURICABA,RIO GRANDE DO SUL,ANA,-28.2894,-53.7794,1957-10-16,2019-10-31,63,5.1,49,22.2
02853014,SANTA CLARA DO INGAI,85,QUINZE DE NOVEMBRO,RIO GRANDE DO SUL,ANA,-28.7289,-53.1853,1944-09-01,2019-10-31,76,1.2,59,22.4
02853015,TRÊS CAPÕES,85,BOA VISTA DO INCRA,RIO GRANDE DO SUL,ANA,-28.8264,-53.5019,1961-01-01,2019-08-31,59,7.0,52,11.9
02853023,CONDOR,75,CONDOR,RIO GRANDE DO SUL,ANA,-28.2256,-53.4703,1976-08-29,2019-10-31,44,2.7,34,22.7
02854003,GIRUA,74,GIRUÁ,RIO GRANDE DO SUL,ANA,-28.0542,-54.3614,1943-04-23,2019-10-31,77,1.0,69,10.4
02854005,PASSO MAJOR ZEFERINO,75,SÃO MIGUEL DAS MISS,RIO GRANDE DO SUL,ANA,-28.7336,-54.6478,1957-10-12,2019-08-31,63,1.2,53,15.9
