station_id,time_step_min,n_obs,nan_frac,years_span_yr,first_date,last_date,had_zero_year,daily_mean_mm,daily_max_mm,max_24h_mm,coeffs_nonan
64501000,15,284420,0,10.9014330661592,06-Feb-2014 07:45:00,31-Dec-2024 23:45:00,0,3.59724576271186,20.7,26.2,8
64497000,60,76672,0,9.06076100125259,10-Dec-2015 14:00:00,31-Dec-2024 23:00:00,0,10.6927589367553,222.6,225.8,6
64489000,15,336924,0,9.85175944749037,24-Feb-2015 17:00:00,31-Dec-2024 23:45:00,0,3.3055900621118,26.9,26.9,8
64480995,15,335854,0.000122076854823822,9.85175944749037,24-Feb-2015 17:00:00,31-Dec-2024 23:45:00,0,3.93117195004803,65,90.1,8
64469850,30,100852,0,6.0926416467598,28-Nov-2018 16:30:00,31-Dec-2024 23:30:00,0,5.09289340101523,70,112.375,7
64464995,15,338104,2.66190284646144e-05,9.85175944749037,24-Feb-2015 17:00:00,31-Dec-2024 23:45:00,0,3.31079717457114,37.8,40.55,8
64461000,30,98905,0,6.0926416467598,28-Nov-2018 16:30:00,31-Dec-2024 23:30:00,0,3.61717902350814,48.7,50.1,7
64444000,15,336738,1.48483390647922e-05,9.85175944749037,24-Feb-2015 17:00:00,31-Dec-2024 23:45:00,0,3.18150548354935,35.85,36,8
64441020,15,328547,0,10.9022316223696,06-Feb-2014 00:45:00,31-Dec-2024 23:45:00,0,3.26627906976744,41.95,55.9,8
64360000,15,308379,0,11.0008818342152,01-Jan-2014,31-Dec-2024 23:45:00,0,3.24542635658915,27.55,29.3,8
64345080,60,72664,0,9.85281468248264,24-Feb-2015 07:00:00,31-Dec-2024 23:00:00,0,10.7486338797814,135.6,135.6,6
64345075,60,74287,0,9.85281468248264,24-Feb-2015 07:00:00,31-Dec-2024 23:00:00,0,9.17790834312572,139.7,170.7,6
64314700,60,33897,0,5.00204202230938,31-Dec-2019 21:00:00,31-Dec-2024 20:00:00,0,7.61374321880651,74,109,6
64309000,60,43624,0,11.0007962746212,01-Jan-2014,31-Dec-2024 23:00:00,0,8.67471590909091,82.2,90.8,6
