station_id,reference_key,source_sheet,source_row,station_code,station_name,latitude,longitude,n_bias_values,median_bias_pct,mean_bias_pct,std_bias_pct,max_abs_bias_pct,p95_abs_bias_pct,K,a,b,c,K_r,a_r,b_r,c_r
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,128,141.20622852241914,374.73549850565405,560.8442553732222,2403.6419549503917,2202.7500430020937,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row258,standard,Standard,258,1654000,Rondonópolis,-16.4711,-54.6561,128,30.475063893899446,104.57501634803364,179.08486972437953,773.9213201391651,643.1537545250338,14615.726,0.207,39.234,1.331,1560.6866455078125,0.1706957370042801,17.966697692871094,0.8508358597755432
standard_row256,standard,Standard,256,1652001,Ponte Branca,-16.7664,-52.8372,128,65.08680955087047,99.55760544201192,103.70027655640506,569.1335603752033,332.83546527779106,10828.492,0.086,47.69,1.19,1037.47802734375,0.17465385794639587,4.947380065917969,0.7897071242332458
disaggregation_row62,disaggregation,Disaggregation,62,,,-17.8308,-54.31309999,128,64.04622853804986,92.65145219016311,95.5252868144008,521.1188773275501,307.19838592054515,5690.78,0.163,32.38,1.05,2044.4697265625,0.25006216764450073,0.3006170094013214,0.8952919244766235
standard_row260,standard,Standard,260,1753000,Alto Araguaia,-17.3,-53.2194,128,65.81809163489203,100.35740721973553,94.58488229399627,465.85512791775704,358.80237425655383,7339.183,0.121,37.977,1.161,1042.923828125,0.16360996663570404,2.9438507556915283,0.7904951572418213
standard_row252,standard,Standard,252,1454000,Paranatinga,-14.4178,-54.04939999,128,67.9628704781307,92.23541460751912,77.57245898363368,422.58102209247585,277.7947798095039,9895.483,0.124,46.84,1.174,1595.35986328125,0.1899460256099701,10.231026649475098,0.8415994048118591
standard_row257,standard,Standard,257,1653004,Alto Garças,-16.9442,-53.5336,128,21.438003656508762,57.57840735210645,95.92043292131807,387.54694302013905,344.6702218063467,6037.949,0.182,17.764,1.178,1041.01025390625,0.16140301525592804,2.1971800327301025,0.8141079545021057
standard_row248,standard,Standard,248,956000,Alta Floresta,-9.8703,-56.1022,128,130.88141600343025,134.57333262936407,60.8891309017372,358.96465994778475,242.47166670468198,4766.289,0.098,29.239,1.036,3888.23291015625,0.22853803634643555,24.596786499023438,0.9366915822029114
standard_row154,standard,Standard,154,1943002,Conceição do Mato Dentro (ANEEL),-19.0167,-43.4442,128,6.2621006104451,37.75714684867552,77.34695443510876,342.0123307748644,222.27302723696508,9459.772,0.23,34.548,1.221,2301.668701171875,0.15907706320285797,23.045703887939453,0.9013510942459106
standard_row399,standard,Standard,399,2951003,Bento Gonçalves,-29.15,-51.5167,128,68.13450371897424,98.63537855535529,87.52693105565017,326.3236813860945,316.0253722258029,704.7,0.1696,7.1,0.7278,2487.527099609375,0.1641341596841812,1.342369556427002,0.8780661225318909
standard_row27,standard,Standard,27,1739005,Itamaraju,-17.045,-39.5447,128,-8.588928811125136,26.96829897389404,92.73097511776551,318.4313185785532,318.3829878909612,4032.86,0.211,28.605,1.06,469.126220703125,0.2110234498977661,15.83702564239502,0.6715766191482544
disaggregation_row88,disaggregation,Disaggregation,88,,,-19.6967,-56.2828,128,59.97633210691329,75.92214018495359,57.02378355887617,317.7628413682597,197.42181494192326,6252.52,0.163,32.96,1.06,1454.85400390625,0.2448670119047165,5.8946452140808105,0.802245557308197
