reference_key,return_period_yr,duration_min,n,median_bias_pct,mean_bias_pct,std_bias_pct,q01_bias_pct,q05_bias_pct,q25_bias_pct,q75_bias_pct,q95_bias_pct,q99_bias_pct,min_bias_pct,max_bias_pct
disaggregation,2,5,396,9.66452400934734,14.870928223570106,44.492977988702236,-65.59631222308813,-48.13770444375446,-11.200033024839565,37.287415993472365,83.995235615312,159.2376434515656,-88.24760609315089,284.0651257092192
disaggregation,2,10,396,8.090966099110783,12.932272394945233,36.087148954556525,-58.87397994019121,-43.64907047144316,-9.173884680418652,33.06338840685274,77.21206466792168,99.1086075978397,-89.06779713856241,186.16415283121435
disaggregation,2,15,396,10.174508217101803,12.162333067726609,33.36050523296201,-53.345566668051994,-38.468202170425705,-8.826171240768783,30.94667276851067,66.94795265829907,91.31394717353285,-89.80138694125692,167.26406552401488
disaggregation,2,20,396,9.00014331399571,11.716264183211218,32.08344139278728,-52.31485208867593,-35.645918465051274,-9.836172255062186,30.992814475705128,64.88988514001589,88.58510363227212,-90.45195672812496,153.3438642138964
disaggregation,2,25,396,8.713376470446818,11.388642842521442,31.327614970370927,-49.57339414894013,-33.485009168607604,-11.348412729510603,30.50746926767932,65.12415396345276,87.51667185198735,-91.02874805591591,142.59857237900513
disaggregation,2,30,396,7.7001024128980635,11.110773735679969,30.797812715184946,-46.98190382581687,-31.82193872695266,-11.031750897859844,29.64933637071798,64.41682805847067,86.29321417863885,-91.54165168523747,134.00863685002375
disaggregation,2,60,396,4.548483660764042,9.682651752803409,28.854264792708015,-45.96965615706651,-28.509813632220386,-10.526022362692828,28.301998209421427,62.35622279108855,86.55269774596894,-93.70025085409948,107.62560056065314
disaggregation,2,120,396,3.535467126212012,7.1846466788165895,26.16172373823618,-47.956558264060526,-26.793822745067317,-11.1555378834487,22.152998357696013,53.772600762983444,80.70789315310955,-95.80046137599868,90.95959191997841
disaggregation,2,180,396,1.4017311847811098,5.152291328570676,24.14280000791515,-50.144084868556654,-25.295560771767313,-11.152610438055994,19.071407321643278,47.21446442710665,71.86559952554208,-96.82925298198114,80.07998096295228
disaggregation,2,240,396,0.7914043091089582,3.503237981482943,22.626452410885104,-48.1613545160825,-25.266211991509902,-12.11018330173436,16.213057805773026,42.549062950086736,65.03317577178696,-97.44242361580498,74.66089268624837
