city_label,integrated_absolute_bias
Serra da Saudade (Minas Gerais),496.5
Pocoes (Bahia),496.16666666666663
Timburi (Sao Paulo),496.0416666666667
Corrego Novo (Minas Gerais),495.95833333333337
Frei Lagonegro (Minas Gerais),495.875
Moreira Sales (Parana),494.75
Icaraima (Parana),494.0
Alto Piquiri (Parana),493.1666666666667
Lupercio (Sao Paulo),493.0416666666667
Cafezal do Sul (Parana),491.70833333333337
Bom Jesus do Sul (Parana),490.83333333333337
Maiquinique (Bahia),490.66666666666663
Santa Cruz do Rio Pardo (Sao Paulo),490.3333333333333
Terra Roxa (Parana),490.29166666666663
Palotina (Parana),490.29166666666663
Abre Campo (Minas Gerais),490.25
Janiopolis (Parana),490.25
Mundo Novo (Mato Grosso do Sul),490.20833333333337
Sao Gotardo (Minas Gerais),490.04166666666663
Novo Hamburgo (Rio Grande do Sul),489.5416666666667
Acreuna (Goias),489.1666666666667
Alto Paraiso (Parana),489.16666666666663
Chapada Gaucha (Minas Gerais),488.7916666666667
Cruzeiro do Iguacu (Parana),488.5833333333333
Eldorado (Mato Grosso do Sul),488.375
Santa Barbara dOeste (Sao Paulo),488.375
Ipaussu (Sao Paulo),487.25
Cruzeiro do Oeste (Parana),486.9166666666667
Bom Jesus do Galho (Minas Gerais),486.83333333333337
Umuarama (Parana),486.66666666666663
Coluna (Minas Gerais),486.5
Xambre (Parana),486.375
Nova Esperanca do Sudoeste (Parana),486.0
Sao Jose do Jacuri (Minas Gerais),485.91666666666663
Manhumirim (Minas Gerais),485.7916666666667
Perobal (Parana),485.75
Mariluz (Parana),485.7083333333333
Campo Bonito (Parana),485.5
Ivate (Parana),485.04166666666663
Turvelandia (Goias),483.9583333333333
Maria Helena (Parana),483.5
Espirito Santo do Turvo (Sao Paulo),483.16666666666663
Iguaba Grande (Rio de Janeiro),483.125
Sao Pedro da Aldeia (Rio de Janeiro),482.9583333333333
Sao Sebastiao do Maranhao (Minas Gerais),482.45833333333337
Flores de Goias (Goias),482.4166666666667
Tejupa (Sao Paulo),481.58333333333337
Americana (Sao Paulo),481.58333333333337
Douradina (Parana),481.54166666666663
Iguatemi (Mato Grosso do Sul),481.4583333333333
Santana do Manhuacu (Minas Gerais),481.41666666666663
Edealina (Goias),480.7083333333333
Pingo dAgua (Minas Gerais),480.66666666666663
Quartel Geral (Minas Gerais),480.2916666666667
Itaquirai (Mato Grosso do Sul),480.0416666666667
Alvinlandia (Sao Paulo),479.75
Ocaucu (Sao Paulo),479.75
Santa Helena de Goias (Goias),479.625
Contagem (Minas Gerais),479.58333333333337
Altonia (Parana),479.25
Querencia do Norte (Parana),479.16666666666663
Alvorada do Norte (Goias),479.125
Maurilandia (Goias),478.875
Campos Novos Paulista (Sao Paulo),478.83333333333337
Aral Moreira (Mato Grosso do Sul),478.5833333333333
Joanesia (Minas Gerais),478.375
Ubirajara (Sao Paulo),478.20833333333337
Sao Pedro do Turvo (Sao Paulo),477.95833333333337
Jerumenha (Piaui),477.4166666666667
Capim Branco (Minas Gerais),477.20833333333337
Sao Pedro do Suacui (Minas Gerais),477.16666666666663
Ipora (Parana),476.66666666666663
Sao Jorge do Patrocinio (Parana),476.54166666666663
Perola (Parana),476.54166666666663
Esperanca Nova (Parana),476.54166666666663
Pontalina (Goias),476.16666666666663
Timoteo (Minas Gerais),476.0833333333333
Ubirata (Parana),475.8333333333333
Coronel Fabriciano (Minas Gerais),475.625
Piedade de Caratinga (Minas Gerais),475.5416666666667
Santo Antonio da Barra (Goias),475.5
Itarantim (Bahia),475.4583333333333
Ibema (Parana),474.79166666666663
Fartura (Sao Paulo),474.6666666666667
Aloandia (Goias),474.5416666666667
Ribeirao do Sul (Sao Paulo),473.875
Porteirao (Goias),473.5
Jaguaracu (Minas Gerais),473.4583333333333
Ourinhos (Sao Paulo),473.3333333333333
Santa Cruz de Monte Castelo (Parana),473.20833333333337
Francisco Alves (Parana),473.0
Navirai (Mato Grosso do Sul),472.5416666666667
Vespasiano (Minas Gerais),472.45833333333337
Rancho Alegre DOeste (Parana),472.3333333333333
Goioere (Parana),472.25
Parobe (Rio Grande do Sul),472.25
Esmeraldas (Minas Gerais),471.875
Confins (Minas Gerais),471.875
Sao Jose da Lapa (Minas Gerais),471.875
Icem (Sao Paulo),471.83333333333337
Amambai (Mato Grosso do Sul),471.79166666666663
Guariba (Sao Paulo),471.70833333333337
Formoso (Minas Gerais),471.41666666666663
Paulistas (Minas Gerais),471.2083333333333
Sao Joao Evangelista (Minas Gerais),470.91666666666663
Cantagalo (Minas Gerais),470.91666666666663
Sumare (Sao Paulo),470.875
Limeira (Sao Paulo),470.8333333333333
Lucianopolis (Sao Paulo),470.7916666666667
Ibirarema (Sao Paulo),470.66666666666663
Luisburgo (Minas Gerais),470.625
Fronteira (Minas Gerais),470.5416666666667
Martins Soares (Minas Gerais),470.5
Tuneiras do Oeste (Parana),470.4166666666667
Prudente de Morais (Minas Gerais),470.2916666666667
Sao Pedro dos Ferros (Minas Gerais),470.29166666666663
Mirante (Bahia),469.625
Quedas do Iguacu (Parana),469.25
Chavantes (Sao Paulo),468.58333333333337
Canitar (Sao Paulo),468.58333333333337
Lajeado Grande (Santa Catarina),468.5416666666667
Tapejara (Parana),468.1666666666667
Betim (Minas Gerais),468.0
Taguai (Sao Paulo),468.0
Nova Odessa (Sao Paulo),467.7916666666667
Dois Vizinhos (Parana),467.25
Dores de Guanhaes (Minas Gerais),467.25
Carmesia (Minas Gerais),467.08333333333337
Braunas (Minas Gerais),467.0416666666667
Igrejinha (Rio Grande do Sul),466.625
Vera Cruz (Sao Paulo),466.4166666666667
Garca (Sao Paulo),466.125
Guanhaes (Minas Gerais),465.75
Ferros (Minas Gerais),465.70833333333337
Jandaia (Goias),465.375
Divinolandia de Minas (Minas Gerais),465.125
Virginopolis (Minas Gerais),465.125
Dom Joaquim (Minas Gerais),465.0
Gonzaga (Minas Gerais),465.0
Sardoa (Minas Gerais),464.95833333333337
Santa Terezinha do Tocantins (Tocantins),464.54166666666663
Castelandia (Goias),464.25
Arapua (Minas Gerais),464.25
Ipatinga (Minas Gerais),464.04166666666663
Joao Costa (Piaui),463.95833333333337
Santana do Paraiso (Minas Gerais),463.75
Entre Folhas (Minas Gerais),463.5833333333333
Vargem Alegre (Minas Gerais),463.4583333333333
Boa Esperanca (Parana),463.41666666666663
Senhora do Porto (Minas Gerais),463.3333333333333
Coroaci (Minas Gerais),463.20833333333337
Quirinopolis (Goias),462.625
Paulistania (Sao Paulo),462.625
Santa Luzia (Minas Gerais),462.58333333333337
Matozinhos (Minas Gerais),462.45833333333337
Lagoa Santa (Minas Gerais),462.45833333333337
Vere (Parana),462.4583333333333
Pecanha (Minas Gerais),462.375
Juranda (Parana),462.3333333333333
Santa Barbara do Tugurio (Minas Gerais),462.20833333333337
Ribeirao Claro (Parana),461.5416666666667
Laguna Carapa (Mato Grosso do Sul),461.5416666666667
Capelinha (Minas Gerais),460.9166666666667
Rio Vermelho (Minas Gerais),460.6666666666667
Marilia (Sao Paulo),460.0833333333333
Echapora (Sao Paulo),460.0833333333333
Caratinga (Minas Gerais),459.9583333333333
Ubaporanga (Minas Gerais),459.9583333333333
Estrela do Indaia (Minas Gerais),459.5416666666667
Santa Rosa da Serra (Minas Gerais),459.45833333333337
Santa Efigenia de Minas (Minas Gerais),459.33333333333337
Platina (Sao Paulo),459.3333333333333
Sao Geraldo da Piedade (Minas Gerais),459.25
Acucena (Minas Gerais),458.25
Palmital (Sao Paulo),458.0833333333333
Urutai (Goias),458.0416666666667
Felicio dos Santos (Minas Gerais),458.0416666666667
Mambore (Parana),457.7916666666667
Gouvelandia (Goias),457.6666666666667
Farol (Parana),457.5
Sao Jorge dOeste (Parana),457.5
Virgolandia (Minas Gerais),457.375
Belo Horizonte (Minas Gerais),457.375
Campina da Lagoa (Parana),457.375
Santa Fe de Goias (Goias),457.3333333333333
Sabinopolis (Minas Gerais),457.125
Mesquita (Minas Gerais),456.95833333333337
Santana do Riacho (Minas Gerais),456.91666666666663
Jequitiba (Minas Gerais),456.875
Bugre (Minas Gerais),456.75
Ipaba (Minas Gerais),456.75
Salto Grande (Sao Paulo),456.625
Jatei (Mato Grosso do Sul),456.54166666666663
Jaboticabal (Sao Paulo),456.5
Marema (Santa Catarina),455.875
Arandu (Sao Paulo),455.875
Nova Olimpia (Parana),454.91666666666663
Barracao (Parana),454.875
Eneas Marques (Parana),454.41666666666663
Princesa (Santa Catarina),454.29166666666663
Sete Lagoas (Minas Gerais),454.20833333333337
Belo Oriente (Minas Gerais),454.0
Oriente (Sao Paulo),453.9583333333333
Tapira (Parana),453.9166666666667
Agua Boa (Minas Gerais),453.6666666666667
Oscar Bressane (Sao Paulo),453.5833333333333
Caarapo (Mato Grosso do Sul),453.5
Rio das Pedras (Sao Paulo),453.25
Pedra Bonita (Minas Gerais),453.25
Passabem (Minas Gerais),453.08333333333337
Cabralia Paulista (Sao Paulo),452.6666666666667
Guaraniacu (Parana),452.4166666666667
Agudos (Sao Paulo),452.375
Jose Raydan (Minas Gerais),452.2916666666667
Coronel Macedo (Sao Paulo),452.2916666666667
Santa Maria do Suacui (Minas Gerais),452.125
Santa Maria de Itabira (Minas Gerais),452.125
Fernao (Sao Paulo),451.83333333333337
Paranaiguara (Goias),451.66666666666663
Nova Canaa (Bahia),451.66666666666663
Pinhal de Sao Bento (Parana),451.5833333333333
Rio Verde (Goias),451.4583333333333
Nacip Raydan (Minas Gerais),451.04166666666663
Goiatuba (Goias),450.95833333333337
Cidade Gaucha (Parana),450.58333333333337
Barao de Antonina (Sao Paulo),450.375
Iracemapolis (Sao Paulo),449.875
Fatima do Sul (Mato Grosso do Sul),449.7916666666667
Gloria de Dourados (Mato Grosso do Sul),449.7916666666667
Cambara (Parana),449.7083333333333
Professor Jamil (Goias),449.16666666666663
Sao Sebastiao do Rio Preto (Minas Gerais),449.125
Morro do Pilar (Minas Gerais),449.04166666666663
Marlieria (Minas Gerais),448.7083333333333
Serranopolis (Goias),448.6666666666667
Santa Isabel do Ivai (Parana),448.2916666666667
Paulinia (Sao Paulo),448.16666666666663
Vicentina (Mato Grosso do Sul),448.16666666666663
Durande (Minas Gerais),447.91666666666663
Galia (Sao Paulo),447.875
Oliveira Fortes (Minas Gerais),447.375
Novo Horizonte do Sul (Mato Grosso do Sul),446.95833333333337
Cosmopolis (Sao Paulo),446.83333333333337
Inhauma (Minas Gerais),446.83333333333337
Sao Jose da Safira (Minas Gerais),446.75
Porto Rico (Parana),446.58333333333337
Iapu (Minas Gerais),446.4166666666667
Cachoeira Alta (Goias),446.1666666666667
Cordisburgo (Minas Gerais),446.08333333333337
Alvaro de Carvalho (Sao Paulo),445.7916666666667
Marilac (Minas Gerais),445.54166666666663
Conceicao do Mato Dentro (Minas Gerais),445.5
Juatuba (Minas Gerais),445.45833333333337
Faxinal dos Guedes (Santa Catarina),445.45833333333337
Itambe do Mato Dentro (Minas Gerais),445.04166666666663
Nova Granada (Sao Paulo),444.75
Santa Monica (Parana),444.66666666666663
Duartina (Sao Paulo),444.625
Borebi (Sao Paulo),444.625
Antonio Dias (Minas Gerais),444.54166666666663
Baldim (Minas Gerais),443.66666666666663
Conchas (Sao Paulo),443.41666666666663
Carlopolis (Parana),443.375
Cianorte (Parana),443.125
Jacarezinho (Parana),443.0833333333333
Dores do Indaia (Minas Gerais),442.79166666666663
Ingai (Minas Gerais),442.79166666666663
Bom Jesus de Goias (Goias),442.75
Capela de Santana (Rio Grande do Sul),442.6666666666667
Aracai (Minas Gerais),442.25
Chapeco (Santa Catarina),441.91666666666663
Santana de Pirapama (Minas Gerais),441.79166666666663
Rio Casca (Minas Gerais),441.66666666666663
Araruna (Parana),441.625
Taquarituba (Sao Paulo),441.41666666666663
Dionisio (Minas Gerais),441.2083333333333
Sao Jose do Goiabal (Minas Gerais),441.2083333333333
Palestina (Sao Paulo),441.08333333333337
Rondon (Parana),440.7916666666667
Curvelo (Minas Gerais),440.0
Inimutaba (Minas Gerais),439.83333333333337
Chapada da Natividade (Tocantins),439.5833333333333
Santa Ernestina (Sao Paulo),439.16666666666663
Monte Mor (Sao Paulo),439.0
Iaciara (Goias),438.75
Paraopeba (Minas Gerais),438.58333333333337
Sao Goncalo do Rio Preto (Minas Gerais),438.4166666666667
Itapagipe (Minas Gerais),438.375
Santo Antonio do Rio Abaixo (Minas Gerais),438.125
Jaboticatubas (Minas Gerais),438.125
Cachoeira da Prata (Minas Gerais),438.0
Montividiu (Goias),437.9166666666667
Funilandia (Minas Gerais),437.75
Fortuna de Minas (Minas Gerais),437.5
Juti (Mato Grosso do Sul),437.41666666666663
Aparecida do Rio Doce (Goias),437.375
Campos Altos (Minas Gerais),437.1666666666667
Nova Cantu (Parana),437.0416666666667
Sao Domingos das Dores (Minas Gerais),436.75
Riolandia (Sao Paulo),436.70833333333337
Limeira do Oeste (Minas Gerais),436.625
Alto Jequitiba (Minas Gerais),436.41666666666663
Sao Jose do Mantimento (Minas Gerais),436.33333333333337
Orizania (Minas Gerais),436.25
Guaraci (Sao Paulo),436.1666666666667
Anhembi (Sao Paulo),436.16666666666663
Sobralia (Minas Gerais),436.16666666666663
Sericita (Minas Gerais),436.125
Congonhas do Norte (Minas Gerais),435.79166666666663
Sao Simao (Goias),435.625
Altair (Sao Paulo),435.625
Elias Fausto (Sao Paulo),435.125
Serra Azul de Minas (Minas Gerais),434.5416666666667
Materlandia (Minas Gerais),434.5
Periquito (Minas Gerais),434.2083333333333
Caetanopolis (Minas Gerais),434.16666666666663
Barrinha (Sao Paulo),434.0416666666667
Sao Sebastiao do Anta (Minas Gerais),433.79166666666663
Mirassolandia (Sao Paulo),433.70833333333337
Florestal (Minas Gerais),433.5833333333333
Altamira do Parana (Parana),433.5416666666667
Alvorada de Minas (Minas Gerais),433.41666666666663
Rio Paranaiba (Minas Gerais),433.1666666666667
Mombuca (Sao Paulo),433.16666666666663
Motuca (Sao Paulo),433.0
Guaimbe (Sao Paulo),433.0
Vargeao (Santa Catarina),432.95833333333337
Lagoinha (Sao Paulo),432.7916666666667
Pradopolis (Sao Paulo),432.45833333333337
Cezarina (Goias),432.33333333333337
Paiva (Minas Gerais),432.25
Inhumas (Goias),432.125
Hortolandia (Sao Paulo),432.0833333333333
Sao Jose do Norte (Rio Grande do Sul),432.0416666666667
Parauna (Goias),432.0
Planaltina do Parana (Parana),431.75
Uniao de Minas (Minas Gerais),431.5833333333333
Jau (Sao Paulo),431.54166666666663
Taquaracu de Minas (Minas Gerais),431.3333333333333
Imbe de Minas (Minas Gerais),431.08333333333337
Ituacu (Bahia),430.875
Dourado (Sao Paulo),430.375
Mira Estrela (Sao Paulo),430.0416666666667
Salto do Itarare (Parana),430.0416666666667
Getulina (Sao Paulo),429.66666666666663
Arraial do Cabo (Rio de Janeiro),429.58333333333337
Sao Jose da Varginha (Minas Gerais),429.54166666666663
Orindiuva (Sao Paulo),429.41666666666663
Ibirapua (Bahia),429.20833333333337
Cacu (Goias),428.70833333333337
Esteio (Rio Grande do Sul),428.625
Sapucaia do Sul (Rio Grande do Sul),428.625
Mario Campos (Minas Gerais),428.54166666666663
Taquarussu (Mato Grosso do Sul),428.54166666666663
Sarzedo (Minas Gerais),428.54166666666663
Tiros (Minas Gerais),428.5
Iturama (Minas Gerais),428.5
Juara (Mato Grosso),428.375
Joaquim Tavora (Parana),428.3333333333333
Cardoso (Sao Paulo),428.29166666666663
Desterro do Melo (Minas Gerais),428.25
Carrancas (Minas Gerais),427.75
Sao Pedro do Parana (Parana),427.75
Corrego Danta (Minas Gerais),427.66666666666663
Capivari (Sao Paulo),427.45833333333337
Loanda (Parana),427.2916666666667
Rafard (Sao Paulo),427.29166666666663
Onda Verde (Sao Paulo),427.20833333333337
Crominia (Goias),426.79166666666663
Ferreira Gomes (Amapa),426.5
Cristianopolis (Goias),426.375
Naque (Minas Gerais),426.25
Ouroeste (Sao Paulo),426.20833333333337
Mairipotaba (Goias),426.2083333333333
Julio Mesquita (Sao Paulo),426.16666666666663
Diamante do Sul (Parana),425.91666666666663
Guaporema (Parana),425.875
Sao Francisco de Sales (Minas Gerais),425.54166666666663
Ibirite (Minas Gerais),425.04166666666663
Assis (Sao Paulo),424.8333333333333
Inaciolandia (Goias),424.625
Cordeiropolis (Sao Paulo),424.5833333333333
Tres Coroas (Rio Grande do Sul),424.5416666666667
Vereda (Bahia),424.41666666666663
Inhapim (Minas Gerais),424.25
Populina (Sao Paulo),424.2083333333333
Indiapora (Sao Paulo),424.1666666666667
Indianopolis (Parana),424.16666666666663
Saltinho (Sao Paulo),424.04166666666663
Sao Tome (Parana),423.875
Paulo de Faria (Sao Paulo),423.75
Guaraciama (Minas Gerais),423.7083333333333
Manfrinopolis (Parana),423.625
Aparecida (Sao Paulo),423.5416666666667
Sabara (Minas Gerais),423.3333333333333
Campo Alegre de Goias (Goias),423.25
Santo Antonio do Itambe (Minas Gerais),423.20833333333337
Pedranopolis (Sao Paulo),423.08333333333337
Pontes Gestal (Sao Paulo),423.0
Serro (Minas Gerais),422.375
Sao Joaquim de Bicas (Minas Gerais),422.3333333333333
Presidente Kubitschek (Minas Gerais),422.3333333333333
Presidente Juscelino (Minas Gerais),422.20833333333337
Morro da Garca (Minas Gerais),422.20833333333337
Santa Gertrudes (Sao Paulo),421.9166666666667
Tangua (Rio de Janeiro),421.7916666666667
Piracicaba (Sao Paulo),421.41666666666663
Farroupilha (Rio Grande do Sul),421.2083333333333
Itiquira (Mato Grosso),421.16666666666663
Ilha Solteira (Sao Paulo),421.125
